SYS_NO,NTCE_WATER_ID_NM,NTCE_WATER_TITLE_NM,NTCE_WATER_CN,CTGRY_ONE_FLAG_CD,CTGRY_ONE_NM,CTGRY_TWO_FLAG_CD,LOCPLC_ALL_ADDR,ACMD_NMPR_CO,CARD_SETLE_AT,DETAIL_ADDR,CVNTL_NM,UTILIIZA_CHRGE_CN,PROGRM_NM,CNSLT_TEL_NO,RSTDE_GUID_CN,PRKPLCE_EXST_AT,TEL_NO,GO_TRNSPORT_MTH_CN,CMNG_TRNSPORT_MTH_CN,OPN_FCLTY_NM,DSCNT_AT,UTILIIZA_TIME,HMPG_ADDR,OPER_TIME,GID_LA,GID_LO,REPRSNT_IMAGE_ONE_NM,REPRSNT_IMAGE_TWO_NM,REPRSNT_IMAGE_THREE_NM,THEME_MAIN_IMAGE_NM
285,204,광안리 갤러리,"부산지역 작가들의 열정과 실험정신이 묻어나는 ‘대안공간 반디’

차 한잔의 여유가 생각날 때 잠시 들러 부산 사진작가들의 사진을 감상할 수 있는 곳 ‘갤러리 포오’
광안대교의 시원스런 전망이 한눈에 들어오는 독특한 문화공간, ‘도시갤러리’ 그리고 작가가 운영하는 감각적인 공간 ‘블루홀갤러리’ 등
조용한 시간, 광안리를 배경으로 탄생한 부산작가들의 소중한 작품들이 광안리 해변을 비롯한 광안리 일대에서 자연과 예술을 사랑하는 관광객을 맞고 있다",b03,b03,부산광역시 수영구 광안2동,,null,202-2,,,,,051-610-4371,매주 일요일,가능,051-756-3438,2호선(금련산),"마을버스 : 수영구2, 남구8&amp;ltbr&amp;gt일반버스 : 20, 38, 41, 42, 51, 83, 83-1, 108, 133, 155&amp;ltbr&amp;gt공항버스 : 해운대&amp;ltbr&amp;gt좌석버스 : 1003&amp;ltbr&amp;gt급행버스 : 1001&amp;ltbr&amp;gt",null,null,null,,,35.15,129.115,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/C_0030_02.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/C_0030_03.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/C_0030_04.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/C_0030_01.jpg
286,205,김재선 갤러리,"지난 1999년 개관한 이후, 무게 있는 작품 전시로 사랑을 받아온 김재선 갤러리.

좋은 작가와 작품의 선정에 충실한 ‘김재선 갤러리’는 언제 어느 때 오더라도 수준높은 작품과
가능성 있는 작가를 만날 수 있다.
한국의 몽마르트르로 불리는 이곳 달맞이 화랑가에서도 그 중심에 서 있다.

특히 부산에서 쉽게 만날 수 없는 서울 작가와 부산 작가의 적절한 조화,
매회 초대되는 신인작가의 구성은 김재선 갤러리만의 특징이다.

올해로 작가생활 25년째로 접어드는 김 관장은 이곳 김재선 갤러리가 단순히 그림을 전시하는 것에
그치지 않고 열린 아카데미로서 그림뿐만 아니라 사진, 건축, 문화탐방 등 종합예술을 아우르는 공간으로
오픈해 대중들이 보다 쉽게 예술을 접할 수 있도록 도움을 주고 있다.
김관장은 향후 달맞이언덕을 파리의 몽마르트르 버금가는 명소로 만들고 싶다는
야심찬 계획도 가지고 있다",b03,b03,부산광역시 해운대구 달맞이길 65번길,,,161-8,,,,,051)731-5437,매주 월요일&#xD;,주차 가능 &#xD; - 10대,051-731-5437,null,"마을버스 : 해운대구2, 해운대구7, 해운대구8, 해운대구10&#xD;",null,null,null,,,35.16,129.175,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/W_0076_02.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/W_0076_03.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/W_0076_04.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/W_0076_01.jpg
287,206,도시 갤러리,세계적인 대가들은 물론이고 다양한 장르의 작품을 전시하고 있다,b03,b03,부산광역시 수영구 광남로,,null,94번길 6,,,,,051)756-3439,매주 일요일 휴관,null,051-756-3438,2호선(금련산)&amp;ltbr&amp;gt,"마을버스 : 수영구2, 남구8&amp;ltbr&amp;gt일반버스 : 20, 38, 41, 42, 51, 83, 83-1, 108, 131, 155&amp;ltbr&amp;gt공항버스 : 해운대&amp;ltbr&amp;gt좌석버스 : 1003&amp;ltbr&amp;gt급행버스 : 1001&amp;ltbr&amp;gt","다누비열차, 전망대 휴게소, 태종사, 구명사, 해상유람선, 자연학습관찰로, 체육공원",null,null,,,35.15,129.115,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_0253_02.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_0253_03.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_0253_04.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_0253_01.jpg
288,207,감전야생화단지,"다대항 배후도로와 낙동대교가 만나는 둔치에 위치한
부산 최대의 야생화 및 수생식물 체험학습장.

낙동강의 갈대와 어우러져, 봄에는 꽃창포와 붓꽃, 여름에는 원추리와 비비추, 가을에는 벌개미취와 꽃범의꼬리 등이 무리지어 꽃을 피워 장관을 이루며 강물의 범람을 고려하여 물에 강한 60여종의 야생화가 전시되어 있다.

매년 3~11월 중 자연체험학습 프로그램을 운영하고 있다.
○ 자연체험학습 프로그램 안내
- 운영기간 : 매년 3월 ~ 11월
- 대상 : 유치부, 초ㆍ중ㆍ고 및 일반시민
- 장소 : 대연수목전시원, 감전야생화단지, 석대양묘장, 삼락습지생태원, 온천천 등
- 강의내용 : 자연을 직접 체험할 수 있는 현장강의 및 실습
- 수 강 료 : 무료
- 신청기간 : 매월 초 프로그램 일정 개시 후
- 신청방법 : 푸른도시가꾸기사업소 홈페이지(www.greenbusan.go.kr) 신청
- 문의 : 푸른도시가꾸기사업소 756-283",b03,b03,부산 사상구 감전동,,null,867번지 일원,,,,,051)756-2832,연중무휴,null,051)756-2832,null,"일반: 138-1, 123, 126, 138, 77, 110 &lt;br&gt;",null,null,null,,,35.156,128.973,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/1231144925.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/1231144935.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/1231144945.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/1231144914.jpg
289,208,삼락습지생태원,"낙동강 고수부지의 무단경작 방지를 위하여 1988년도부터 연차적으로 잔디양묘장을 조성하여, 잔디 생육 상태가 양호한 일부 구간은 잔디 광장으로 관리하고 생육 상태가 불량한 저습지에는 폐자재를 재활용하여 습지생태원으로 조성하였다.

대단위 창포단지, 물억새군락지, 연못조성지 등 자연 테마별로 관리계획을 수립하여, 사상구 삼락동, 감전동 주변 낙동강 둔치 22만1,614㎡에 조성한 자연 체험형 습지 생태원이다.

삼락습지 생태원에는 20여종의 수생식물, 노랑꽃 창포단지가 조성되어 있으며, 자연체험 학습장인 논 체험장, 연꽃식재 생태연못, 갈대체험장 등 다양한 친자연적인 생태원으로 꾸며져 있다.

매년 3~11월 자연체험학습프로그램을 운영중이다.

○ 자연체험학습프로그램 운영개요
- 운영기간 : 매년 3월 ~ 11월
- 대상 : 유치부ㆍ초ㆍ중ㆍ고 및 일반시민
- 장소 : 대연수목전시원, 감전야생화단지, 석대양묘장, 삼락습지생태원, 온천천 등
- 강의내용 : 자연을 직접 체험할 수 있는 현장강의 및 실습
- 수 강 료 : 무료
- 신청기간 : 매월 초 프로그램 일정 개시 후
- 신청방법 : 푸른도시가꾸기사업소 홈페이지(www.greenbusan.go.kr) 신청
- 문의 : 푸른도시가꾸기사업소, 756-283",b03,b03,부산 사상구 삼락동,,null,817번지 일원,,,,,051)756-2832,연중무휴,null,051)756-2832,2호선 사상역 하차 후 도보 15분,"일반: 123, 126 마을: 사상구7","대공연장, 소공연장, 야외공연장, 연습실, 공조실, 출연자대기실, 야외공연장, 분장실, 매표, 영사실, 무대제어실, 통신실, 측면투광실",null,null,,,35.169,128.974,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/123114578.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/123116035.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/123116131.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/1231145658.jpg
290,209,을숙도 갈대밭,"하중도 을숙도에는 갈대밭이 형성되어 많은 철새가 이 곳을 찾는다.

낙동강이 실어온 모래로만 이루어진 을숙도의 중심에는 물길이 마치 미로처럼 얽혀 있는데 이 물길을 따라서 갈대가 자라 숲을 이루고 있다. 사람 키보다 훌쩍 큰 갈대밭은 햇살에 일렁이는 모양은 보기만하고 있어도 장관이다.

갈대 숲을 산책하는 것 이외에도 이 곳에 오면 빼놓을 수 없는 것이 바로 철새 탐사다. 50여종, 10여만 마리의 철새들이 이 곳 을숙도에서 쉬어간다. 석양빛을 받으며 날아 오르는 군무는 어디가도 볼 수 없는 희귀한 광경이다.

철새 탐조는 강변 갈대밭 어디서나 할 수 있는데, 을숙도의 터줏대감인 오리는 쉽게 발견할 수 있다. 화려한 색깔의 옷, 짙은 화장 등은 새들을 놀라게 하기 때문에 삼가는 것이 좋다.

좀 더 전문적으로 철새 탐조를 하고 싶다면 망원경을 가지고 배를 타고 나가는 것이 좋다.",b03,b03,부산 사하구 하단1동,,null,null,,,,,051)220-4062,연중무휴,null,051)220-4062,null,"좌석: 220, 58-1, 221, 220 &lt;br&gt;마을: 강서구10, 강서구12, 강서구13, 강서구14, 강서구15, 강서구16, 강서구9-2, 강서구16, 강서구17, 강서구20 &lt;br&gt;일반: 55, 58, 58-2 &lt;br&gt;",우동천요금소 → 벡스코요금소,null,null,,,35.117,128.979,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_0750_02.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_0750_03.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_0750_04.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_0750_01.jpg
291,21,명월사지흥국사,"부산 강서구 지사동 명동(明洞현)마을 산 498번지에 흥국사가 있다.
이 흥국사 자리를 명월사(明月寺) 옛터라 한다.

현재의 흥국사는 1956년 중건하였다. 경내에는 「가락국태조왕영후유허비(駕洛國太祖王迎后遺墟碑)」가 세워져 있다.
오늘날의 흥국사의 주변일대가 옛날의 명월사지(明月寺址)였다고 하나 지금은 옛 자취를 찾아볼 수 없다.

그러나 흥국사의 칠성각을 건립할 때 출토된 화강암제의 석탑면석(石塔面石) 1개와 다른 석제품조각 1점이 보관되어 있다.
그 석탑면석을 명월사 사왕석(蛇王石)이라 일컫고 있다.

1983년 1월 이곳에서 금동여래입상(金銅如來立像) 1구가 출토되어 현재 국립중앙박물관에 보관되어 있다",b03,b03,부산시 강서구 지사동,,,산 498 명동마을,,,,,null,null,null,null,"■ 버 스&lt;br&gt;- 일반버스&lt;br&gt;* 159, 520, 58, 585-2, 68번 → 하단지하철역 하차 (마을버스 12번 이용) &lt;br&gt;- 좌석버스 &lt;br&gt;* 221, 300, 58-1번 → 하단지하철역 하차 (마을버스 12번 이용) &lt;br&gt;■ 지하철&lt;br&gt;* 1호선 하단역 하차 5번출구 (마을버스 12번 이용) &lt;br&gt;","■ 기차로 오실 때 (부산역하차)&lt;br&gt;- 버  스 &lt;br&gt;* 1001번(좌석) → 하단오병원역 하차 (마을버스 12번 이용)&lt;br&gt;* 1001번(심야) → 하단교차로역 하차 (마을버스 12번 이용)&lt;br&gt;* 2번 → 하단교차로역 하차 (마을버스 12번 이용) &lt;br&gt;- 지하철&lt;br&gt;* 1호선 → 하단역 하차 5번출구 (마을버스 12번 이용) &lt;br&gt;&lt;br&gt;■ 비행기로오실 때 (김해공항에서)&lt;br&gt;- 일반 버스 &lt;br&gt;* 300 → 하단지하철역 하차  (마을버스 12번 이용)&lt;br&gt;&lt;br&gt;■ 시외버스로 오실 때&lt;br&gt; ○ 노포동 종합버스터미널 &lt;br&gt;- 버  스&lt;br&gt;* 1002번(심야) → 서면역 (68, 1000(심야)번환승) → 하단지하철역 이용  (마을버스 12번 이용)&lt;br&gt;* 1002번(심야) → 서면역 (서면한전앞 138번환승) → 하단교차로역 이용  (마을버스 12번 이용)&lt;br&gt;* 148번 → 구포지하철역 (126번환승) → 하단교차로역 이용  (마을버스 12번 이용)&lt;br&gt;- 지하철&lt;br&gt;* 1호선 → 하단역 하차 5번출구 (마을버스 12번 이용) &lt;br&gt;&lt;br&gt;&lt;br&gt; ○ 사상 서부시외버스터미널&lt;br&gt;- 버  스&lt;br&gt;* 338, 138-1, 159번  → 하단교차로역 하차 (마을버스 12번 이용) &lt;br&gt;- 지하철&lt;br&gt;* 2호선 → 서면역 (1호선환승) → 하단역 하차 5번출구 (마을버스 12번 이용) &lt;br&gt;",null,null,null,,,35.135,128.83,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_1157_02.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_1157_03.jpg,null,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_1157_01.jpg
292,212,승학산억새풀,"승학산(乘鶴山)은 해발496m로서 부산에서 가장 서쪽에 있는 산으로,
구덕산과 시약산의 서쪽이며 엄광산의 남쪽으로 사하구 당리동의 뒷산이다.
흔히 동아대 뒷산으로 불린다.

승학산은 고려 말 무학대사가 전국을 두루 돌아다니며 산세를 살폈는데 이 곳을 오니 산세가 준엄하고
기세가 높아 마치 학이 나는 듯하다 하여 승학산이란 이름을 붙였다는 전설이 전해오고 있다.

특히 이 곳 10월은 억새가 아름답기로 이름이 나 있다.  억새군락은 승학산 동쪽 제석골 안부에 있다.
수만평에 이르는 부산 제일의 억새밭이다.
바람따라 일렁이는 대장관은 전국의 어느 억새명산 못지 않다.

억새능선까지 올라갈 수 있는 길은 4군데 정도. 다소 가파르지만 엄궁에서 올라가거나 당리,
괴정에서 사하구청 뒤편 제석골로 통하는 코스, 서대신동에서 기상청 레이더관측소 도로를 따라
올라가 임도로 내려가는 길, 그리고 통상 종주로인 동아대~잔등이~정상코스 등이 있다.

동아대학교 뒤로 올라 승학산 정상을 거쳐 서대신동 꽃마을~구덕산~구봉산~수정산으로 이르는
등산코스는 부산시내를 한눈에 내려다볼 수 있는 좋은 등산코스이기도 하다",b03,b03,부산광역시 사하구 하단동,,null,null,,,,,051)220-4541,연중무휴,null,051)220-4541,1호선(당리),"마을: 사하구2, 사하구2-1, 강서구16, 사하구10, 강서구21 &lt;br&gt;일반: 138, 16, 123, 126, 520, 58-2, 2, 11, 113, 138-1 &lt;br&gt;급행: 1001 &lt;br&gt;좌석: 58-1, 1000 &lt;br&gt;",null,null,null,,,35.117,128.98,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_1313_02.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_1313_03.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/41514271.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_1313_01.jpg
293,213,연꽃소류지,"연꽃소류지는 1827년(순조27년)에 두구동 지역의 가뭄을 해결하기 위해 조성된 저수지로 부산광역시 금정구 두구동 1117번지에 위치하고 있으며,

그 면적은 7,828㎥로 두구동에 거주하던 한 주민이 1995년 연꽃 씨앗을 파종한 이후 자연적으로 번식되어 현재에 이르렀고, 2003년 4월 금정구청에서 부곡2동 수도사 주지 정행스님의 순수 재래종 백련 뿌리를 제공받아 소류지 일부에 식재하였다.

7～9월 중에는 홍연과 백련이 꽃을 피어 장관을 이루며 백련은 일시에 피지 않고 석 달 동안 계속해서 피고 진다",b03,b03,부산시 금정구 두구동,,null,1117,,,,,null,연중무휴,null,051)519-4081,1호선 노포역 하차 후 마을버스 2-2번 환승,"마을: 금정구2-2, 금정구2-3",null,null,null,,,35.3,129.115,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_1165_02.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_1165_03.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_1165_04.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_1165_01.jpg
294,214,장산산림욕장,"대천공원 내의 길을 따라 조금만 오르다 보면 왼쪽으로 계곡을 따라 장산 산림욕장이 시작된다.

숲 속에 벤치와 개울가에서 물놀이를 하는 아이들 모습은 마치 시골서나 볼 수 있는 풍경들이 그 곳에 있다.
산림향을 맡으며 거닐 수 있는 산책로도 아주 매력적이다. 말 그대로 도심속에 휴식공간이라 할 수 있을 것이다.

산림욕장의 중앙광장을 향해 조금만 오르다 보면 왼쪽 계곡아래 폭포가 보인다.
바로 양운 폭포이다.

각 지역의 유명한 폭포만큼 그리 화려하지는 않지만 부산시내의 도심속에 이런 폭포가 있다는 게 아주 이색적이다.

폭포를 뒤로 하고 조금만 더 오르면 중앙광장이 나온다. 광장엔 몇 가지 운동 시설들과 벤치,
그리고 지압보도가 있다",b03,b03,부산 해운대구 좌동,,null,산78-1번지,,,,,"051)749-5716, 749-5769, 749-4544",연중무휴,null,"051)749-5716, 749-5769, 749-4544",null,"마을: 해운대구8, 해운대구7 &lt;br&gt;일반: 115-1, 63, 38, 40, 100-1, 181 &lt;br&gt;급행: 1001 &lt;br&gt;",null,null,null,,,35.183,129.167,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_1658_02.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_1658_03.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_1658_04.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_1658_01.jpg
295,215,"낙동강하류 철새,습지,갯벌체험 - 을숙도 자연학교","부산광역시사하구 다대동에서 장림동 하단동을 경유하여 북구 금곡동에 이르기까지, 서쪽으로는 강서구의 명지동, 신호동 및 경상남도의 진해시 일부를 포함하는 광활한 낙동강유역 일대는 옛날부터 유명한 철새도래지로 천연기념물로 지정하여 보호하고 있다.

낙동강은 하구에 을숙도를 비롯하여 일웅도(日雄島), 백합등, 대마등(大馬嶝) 등 크고 작은 삼각주가 많은데, 삼각주 주변은 수심이 얕고 강물과 바닷물의 교류가 왕성할 뿐 아니라, 양쪽강변에는 개펄이 잘 발달하여 있어 각종 플랑크톤과 패류, 소형어류 등 철새의 먹이가 풍부하며, 삼각주곳곳의 갈대 숲 등도 철새의 먹이와 보금자리를 제공하고 있어 많은 철새가 모여드는 곳이다.

낙동강하류에 철새가 모여드는 또 다른 이유는 지리적으로 한반도의 최남단에 위치하여 바다를 건너 이동하는 철새들의 출입관문의 역할을 할 뿐만 아니라, 여름에는 시원하고 겨울에는 따뜻하여 철새들의 월동 및 번식지로 적합하기 때문이다.

지금까지 오리과, 도요새과, 백로과, 황새과 등 140여종이상의 조류가 채집 또는 관찰되었고, 간혹 천연기념물로 지정된 재두루미, 저어새등과 제비물떼새, 넙적부리도요등의 희귀한 새도 찾아와 학술적으로도 대단히 중요한 의미를 갖고 있는 곳이 기도하다.

이 곳에서는 오리, 기러기 등 물이나 물가에서 사는 우리나라의 거의 모든 수금류(水禽類)와 도요, 물떼새 등의 섭금류(涉禽類)를 볼 수 있고, 그 외에도 이들을 잡아 먹고 사는 육식성 맹금류(猛禽類)가 약간 있고, 또 갈대 숲과 초원을 서식처로 하는 소형의 명금류(鳴禽類)도 상당히 있다.

낙동강하류 철새도래지는 우리나라 최대의 철새도래지 중의 하나일 뿐 아니라, 일본-한국-러시아를 잇는 지역으로서 국제적으로도 매우 중요한 곳이다. 또 한이 지역의 생물 지질 및 해양환경 등도 학술적 교육적으로 가치가 높은 것으로 평가되고 있다",b03,b03,부산시 사하구,,null,null,,,,,051) 220-4065,연중무휴,null,051) 220-4065,"1호선 하단역 하차 후 버스 58, 58-2번 환승","좌석: 220, 58-1, 221, 220 &lt;br&gt;마을: 강서구10, 강서구12, 강서구13, 강서구14, 강서구15, 강서구16, 강서구9-2, 강서구16, 강서구17, 강서구20 &lt;br&gt;일반: 55, 58, 58-2 &lt;br&gt;",null,null,null,,,35.105,128.942,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/22514444.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/225144423.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_1684_01.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_1684_01.jpg
296,216,범어사 템플스테이-템플라이프,"부산의 도심사찰 범어사는 자연을 그리워하는 부산지역 사람들이 자주 찾고 있으며,
특히 항구도시 부산을 방문하는 외국인들에게 아름다운 전통문화 체험장으로 각광받고 있다.
범어사 템플 스테이의 가장 큰 특징으로는 불무도와의 만남을 꼽을 수 있다.

휴휴정사 앞 넓은 잔디밭에서 금정산의 정기를 마시며 수련하는 불무도는 일상에서 움츠러든
몸과 마음의 긴장을 풀고 호연지기를 기르는 체험수련법으로 손색이 없다.

저녁에는 직접 만든 작은 컵등(燈)에 불을 밝히고 탑돌이를 하며 기원하는 시간이 마련되어 있다.
템플스테이 전용공간인 휴휴정사는 얼마전까지 스님들이 수행하던 ‘평생선원’이었다.

한번 평생선원에 들어가면 견성성불하기 전에는 결코 밖을 나가지 않겠다는 굳은 서원(誓願)과
결의가 서려있는 곳이다.

이러한 수행자의 향기가 머무는 곳에 머무는 것만으로도 세상에 온갖 번뇌에 시달려 사는 사람들에게는
신선한 충격을 줄 것이다. 범어사는 지금도 참선수행도량으로 많은 선승들이 수행정진하고 있다.",b03,b03,부산광역시 금정구 범어사로 250(금정산),,null,null,,,,,null,null,대형버스 주차가능,051)508-5726,1호선 범어사역(5번출구) 하차 후 버스90번 환승,null,null,null,null,,,null,null,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/thumbnail\/155375184046006.jpg,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/thumbnail\/155375184491331.jpg,null,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/thumbnail\/155375182963728.jpg
297,21627,맥도생태공원,,b03,b03,강서구 대저동 4390번지 일원,,null,null,,,,,null,null,null,null,null,"마을버스 - 강서13번버스 이용 맥도생태공원 하차, 낙동강변 방향 도보 5분",null,null,null,,,35.149,128.956,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/135047491810850.gif,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/135047493280952.gif,null,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/135047489998519.gif
298,21628,화명생태공원,,b03,b03,북구 화명동 1718번지 일원,,null,null,,,,,"051-310-6028, 6031",null,null,null,"지하철 2호선 수정역, 율리역 하차 도보 10분","15번, 59번, 111번, 121번 북구 보건소 하차, 낙동강변 방향 도보 10분",null,null,null,,,35.24,129.007,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/135047585417181.gif,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/135047587066259.bmp,null,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/135047584206876.gif
299,21634,대저생태공원,"찾아오는 길
하단(을숙도) → 명지시장 → 김해공항 → 경전철 등구역 → 강서구청 지하철역 50m 전 우측 진입 <br>구포 → 구포대교 → 공항로 대동방향 우측도로 → 공항로 진입 첫 번째 신호 대기 후 U턴 → 강서구청 지나 첫 번째 신호 대기 후 U턴, 우측 도로 진입 <br>화명동 → 화명대교 → 대동(김해공항) 방향 진입 → 강서구청 지나 첫 번째 신호 대기 후 U턴, 우측 도로 진입 <br>",b03,b03,강서구 대저2동 1175-1번지 일원,,null,null,,,,,051-310-6036,null,null,null,지하철 3호선 강서구청역 하차 도보 15분 거리 \/ 경전철 등구역 하차 10분 거리,"일반버스 123번, 마을버스 강서13번 강서구청 하차 도보 15분 거리 &lt;br&gt;",null,null,null,,,35.196,128.967,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/135047746680874.gif,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/135047745658470.gif,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/135047747834791.gif,http:\/\/tour.busan.go.kr\/upload_data\/manage_img\/\/135047744736422.gif
300,217,홍법사 템플스테이,"새벽예불과 함께 시작된 템플스테이는 경전독송과 108배, 발우공양, 운력, 산책, 참선 등
스님과 함께하는 프로그램으로 이루어져 있다.

특히 아름답게 정리된 여러 종류의 나무들 속에 둘러싸인 잔디밭에서 하는 참선,
매월 테마를 정해 송편 만들기, 윷놀이, 김치 담그기, 연 만들기, 화전놀이 등  외국인들이
한국전통문화를 체험할 수 있도록 준비를 하고 있다.

또한 텃밭  가꾸기 체험을 통해 직접 밭에서 수확한 싱싱한 채소들을 반찬으로 공양도 하고,
스님과의 대화를 통해 평소 궁금했던 것에 대해 알 수 있는 시간들을 만들고 있다",b03,b03,부산 금정구 두구동,,null,null,,,,,051)508-0345,null,null,051)508-0345,null,"마을: 금정구2-3, 금정구2-2 &lt;br&gt;좌석: 1127, 1137, 1002 &lt;br&gt;일반: 12-1, 301, 37, 50, 58, 59, 60, 61, 50, 37 &lt;br&gt;",null,null,null,,,35.304,129.11,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/14152927.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_1639_01.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/14152948.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/14152939.jpg
301,218,감지해변산책로,"감지 해변 산책로는 천혜의 관광 자원인 태종대 감지 해변의 해안선을 따라 조성된 약 3㎞의 산책로로 동삼동 일대에 조성되어 있습니다. 산책로로 진입하면 잘 포장된 산책로 옆으로 인공으로 조성된 구절초를 비롯한 야생초 꽃밭이 이어지며 주변에는 벌개미취 등 우리 꽃 10종, 2만 4000본을 식재하여 청소년들의 자연 학습장으로 이용되고 있습니다. 경사가 완만하여 어린이를 동반해도 무리없을 정도이며 산책로 밖을 나서면 다양한 맛집이 있기 때문에 눈과 귀를 동시에 즐길 수 있는 곳이기도 합니다.",b03,b03,부산시 영도구 동삼동,,null,null,,,,,051)419-4064,연중무휴,null,051)419-4064,null,"영도대교 - 8, 30, 66, 88A, 101 \/ 부산역 - 101",null,null,null,,,35.062,129.076,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_1378_02.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_1378_03.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_1378_04.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/P_1378_01.jpg
302,219,동삼해수천로,"1978년부터 준설토 투기로 매립이 시작된 이래 30여년간 지역주민 생활에 불편을 초래했던 동삼동 매립지 배수로가 2004년 11월부터 공사를 시작하여
2006년 9월 완공, 친환경적인 지역의 명소로 재탄생하여 시민들이 운동과 여가장소로서 영도의 또다른 명소로 각광받고 있다.
다양한 운동기구와 목교, 소공원, 화장실 등 편의시설이 잘 갖추어진 곳이며, 특히 해수를 끌어들여 수변공간을 형성하여 보는 이에게 즐거움을 만끽할 수 있는 장점이 있다.
이렇게 운동과 여가를 동시에 즐길 수 있는 장점이 있어 시민들이 많이 이용하는 장소이다",b03,b03,부산 영도구 동삼동,,null,에코션시티옆 배수로,,,,,051)419-4041,연중 무휴,null,051)419-4041,null,"영도대교 - 8, 30, 88A, 101 \/ 부산역 - 88A, 101, 190",null,null,null,,,35.075,129.068,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/1110192357.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/1110192344(2).jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/111019244.jpg,http:\/\/vod.busan.go.kr\/photo\/thumbnail\/1110192350.jpg
